host,ip,port,protocol,title,domain,country,city,link,as_organization
140.83.57.116:8443,140.83.57.116,8443,http,,,JP,Osaka,http://140.83.57.116:8443,ORACLE-BMC-31898
140.83.57.116:8443,140.83.57.116,8443,http,,,JP,Osaka,http://140.83.57.116:8443,ORACLE-BMC-31898
152.69.199.70:8443,152.69.199.70,8443,http,,,JP,Osaka,http://152.69.199.70:8443,ORACLE-BMC-31898
https://150.230.203.210:8099,150.230.203.210,8099,https,403 Forbidden,,JP,Tokyo,https://150.230.203.210:8099,ORACLE-BMC-31898
https://168.138.41.216:8443,168.138.41.216,8443,https,,,JP,Osaka,https://168.138.41.216:8443,ORACLE-BMC-31898
https://47.74.46.37:5224,47.74.46.37,5224,https,,,JP,Tokyo,https://47.74.46.37:5224,"Alibaba US Technology Co., Ltd."
https://47.74.46.37:5224,47.74.46.37,5224,https,403 Forbidden,,JP,Tokyo,https://47.74.46.37:5224,"Alibaba US Technology Co., Ltd."
158.101.154.245:47001,158.101.154.245,47001,http,,,JP,Tokyo,http://158.101.154.245:47001,ORACLE-BMC-31898
https://140.238.51.18:10001,140.238.51.18,10001,https,403 Forbidden,,JP,Tokyo,https://140.238.51.18:10001,ORACLE-BMC-31898
150.230.107.70:587,150.230.107.70,587,http,,,JP,Tokyo,http://150.230.107.70:587,ORACLE-BMC-31898
https://168.138.42.138:444,168.138.42.138,444,https,,,JP,Osaka,https://168.138.42.138:444,ORACLE-BMC-31898
140.83.62.178:40000,140.83.62.178,40000,http,,,JP,Osaka,http://140.83.62.178:40000,ORACLE-BMC-31898
https://168.138.209.170:12345,168.138.209.170,12345,https,,,JP,Tokyo,https://168.138.209.170:12345,ORACLE-BMC-31898
8.221.142.97:587,8.221.142.97,587,http,,,JP,Tokyo,http://8.221.142.97:587,"Alibaba US Technology Co., Ltd."
168.138.197.5:4499,168.138.197.5,4499,http,,,JP,Tokyo,http://168.138.197.5:4499,ORACLE-BMC-31898
https://158.101.147.106:10443,158.101.147.106,10443,https,,,JP,Tokyo,https://158.101.147.106:10443,ORACLE-BMC-31898
150.230.202.26:587,150.230.202.26,587,http,,,JP,Tokyo,http://150.230.202.26:587,ORACLE-BMC-31898
138.2.49.197:587,138.2.49.197,587,http,,,JP,Osaka,http://138.2.49.197:587,ORACLE-BMC-31898
https://168.138.46.24:4434,168.138.46.24,4434,https,403 Forbidden,,JP,Osaka,https://168.138.46.24:4434,ORACLE-BMC-31898
https://168.138.42.237:9443,168.138.42.237,9443,https,,,JP,Osaka,https://168.138.42.237:9443,ORACLE-BMC-31898
https://158.101.158.41:10443,158.101.158.41,10443,https,,,JP,Tokyo,https://158.101.158.41:10443,ORACLE-BMC-31898
https://131.186.59.5:4431,131.186.59.5,4431,https,403 Forbidden,,JP,Tokyo,https://131.186.59.5:4431,ORACLE-BMC-31898
168.138.195.24:587,168.138.195.24,587,http,,,JP,Tokyo,http://168.138.195.24:587,ORACLE-BMC-31898
https://132.226.11.209:9443,132.226.11.209,9443,https,,,JP,Tokyo,https://132.226.11.209:9443,ORACLE-BMC-31898
132.145.126.161:1234,132.145.126.161,1234,http,,,JP,Tokyo,http://132.145.126.161:1234,ORACLE-BMC-31898
https://168.138.192.236:9443,168.138.192.236,9443,https,,,JP,Tokyo,https://168.138.192.236:9443,ORACLE-BMC-31898
https://168.138.203.197:30003,168.138.203.197,30003,https,,,JP,Tokyo,https://168.138.203.197:30003,ORACLE-BMC-31898
140.83.62.178:10000,140.83.62.178,10000,http,,,JP,Osaka,http://140.83.62.178:10000,ORACLE-BMC-31898
8.221.143.218:587,8.221.143.218,587,http,,,JP,Tokyo,http://8.221.143.218:587,"Alibaba US Technology Co., Ltd."
138.2.0.134:444,138.2.0.134,444,http,,,JP,Tokyo,http://138.2.0.134:444,ORACLE-BMC-31898
https://168.138.46.24:4434,168.138.46.24,4434,https,,,JP,Osaka,https://168.138.46.24:4434,ORACLE-BMC-31898
https://131.186.59.5:4431,131.186.59.5,4431,https,,,JP,Tokyo,https://131.186.59.5:4431,ORACLE-BMC-31898
168.138.204.44:587,168.138.204.44,587,http,,,JP,Tokyo,http://168.138.204.44:587,ORACLE-BMC-31898
https://158.101.132.240:10002,158.101.132.240,10002,https,,,JP,Tokyo,https://158.101.132.240:10002,ORACLE-BMC-31898
168.138.197.147:12345,168.138.197.147,12345,http,,,JP,Tokyo,http://168.138.197.147:12345,ORACLE-BMC-31898
https://158.101.132.240:10000,158.101.132.240,10000,https,,,JP,Tokyo,https://158.101.132.240:10000,ORACLE-BMC-31898
8.209.220.155:587,8.209.220.155,587,http,,,JP,Tokyo,http://8.209.220.155:587,"Alibaba US Technology Co., Ltd."
158.101.95.22:9002,158.101.95.22,9002,http,Claude,,JP,Tokyo,http://158.101.95.22:9002,ORACLE-BMC-31898
141.147.185.196:587,141.147.185.196,587,http,,,JP,Tokyo,http://141.147.185.196:587,ORACLE-BMC-31898
138.3.216.18:587,138.3.216.18,587,http,,,JP,Tokyo,http://138.3.216.18:587,ORACLE-BMC-31898
64.110.96.74:587,64.110.96.74,587,http,,,JP,Osaka,http://64.110.96.74:587,ORACLE-BMC-31898
158.101.132.240:10001,158.101.132.240,10001,http,,,JP,Tokyo,http://158.101.132.240:10001,ORACLE-BMC-31898
https://158.101.132.240:10001,158.101.132.240,10001,https,403 Forbidden,,JP,Tokyo,https://158.101.132.240:10001,ORACLE-BMC-31898
140.238.38.81:587,140.238.38.81,587,http,,,JP,Tokyo,http://140.238.38.81:587,ORACLE-BMC-31898
https://141.147.144.246:8080,141.147.144.246,8080,https,,,JP,Osaka,https://141.147.144.246:8080,ORACLE-BMC-31898
https://131.186.60.210:8080,131.186.60.210,8080,https,403 Forbidden,,JP,Tokyo,https://131.186.60.210:8080,ORACLE-BMC-31898
https://131.186.60.210:8080,131.186.60.210,8080,https,,,JP,Tokyo,https://131.186.60.210:8080,ORACLE-BMC-31898
168.138.201.26:10000,168.138.201.26,10000,http,,,JP,Tokyo,http://168.138.201.26:10000,ORACLE-BMC-31898
https://138.2.53.250:8080,138.2.53.250,8080,https,,,JP,Osaka,https://138.2.53.250:8080,ORACLE-BMC-31898
45.88.193.71:8089,45.88.193.71,8089,http,,,JP,Tokyo,http://45.88.193.71:8089,DMIT
47.74.15.234:8181,47.74.15.234,8181,http,,,JP,Tokyo,http://47.74.15.234:8181,"Alibaba US Technology Co., Ltd."
https://193.123.161.248:2052,193.123.161.248,2052,https,,,JP,Tokyo,https://193.123.161.248:2052,ORACLE-BMC-31898
150.230.5.93:8181,150.230.5.93,8181,http,,,JP,Osaka,http://150.230.5.93:8181,ORACLE-BMC-31898
150.230.5.93:8181,150.230.5.93,8181,http,Claude,,JP,Osaka,http://150.230.5.93:8181,ORACLE-BMC-31898
https://47.74.20.213:8081,47.74.20.213,8081,https,,,JP,Tokyo,https://47.74.20.213:8081,"Alibaba US Technology Co., Ltd."
https://47.74.20.213:8081,47.74.20.213,8081,https,403 Forbidden,,JP,Tokyo,https://47.74.20.213:8081,"Alibaba US Technology Co., Ltd."
141.147.144.2:8181,141.147.144.2,8181,http,,,JP,Osaka,http://141.147.144.2:8181,ORACLE-BMC-31898
140.83.32.156:8181,140.83.32.156,8181,http,,,JP,Tokyo,http://140.83.32.156:8181,ORACLE-BMC-31898
https://138.2.36.157:8443,138.2.36.157,8443,https,403 Forbidden,,JP,Osaka,https://138.2.36.157:8443,ORACLE-BMC-31898
https://141.147.182.224:2053,141.147.182.224,2053,https,,,JP,Tokyo,https://141.147.182.224:2053,ORACLE-BMC-31898
https://141.147.182.224:2053,141.147.182.224,2053,https,403 Forbidden,,JP,Tokyo,https://141.147.182.224:2053,ORACLE-BMC-31898
https://141.147.153.229:8443,141.147.153.229,8443,https,,,JP,Osaka,https://141.147.153.229:8443,ORACLE-BMC-31898
https://132.145.127.203:2053,132.145.127.203,2053,https,,,JP,Tokyo,https://132.145.127.203:2053,ORACLE-BMC-31898
https://140.238.38.31:8443,140.238.38.31,8443,https,,,JP,Tokyo,https://140.238.38.31:8443,ORACLE-BMC-31898
https://132.145.127.203:8443,132.145.127.203,8443,https,403 Forbidden,,JP,Tokyo,https://132.145.127.203:8443,ORACLE-BMC-31898
https://132.145.127.203:8443,132.145.127.203,8443,https,,,JP,Tokyo,https://132.145.127.203:8443,ORACLE-BMC-31898
168.138.197.97:8443,168.138.197.97,8443,http,,,JP,Tokyo,http://168.138.197.97:8443,ORACLE-BMC-31898
168.138.47.238:8443,168.138.47.238,8443,http,,,JP,Osaka,http://168.138.47.238:8443,ORACLE-BMC-31898
168.138.47.238:8443,168.138.47.238,8443,http,,,JP,Osaka,http://168.138.47.238:8443,ORACLE-BMC-31898
45.88.193.71:8088,45.88.193.71,8088,http,,,JP,Tokyo,http://45.88.193.71:8088,DMIT
140.238.49.45:8181,140.238.49.45,8181,http,,,JP,Tokyo,http://140.238.49.45:8181,ORACLE-BMC-31898
https://140.238.62.170:8443,140.238.62.170,8443,https,,,JP,Tokyo,https://140.238.62.170:8443,ORACLE-BMC-31898
https://138.2.57.135:8443,138.2.57.135,8443,https,,,JP,Osaka,https://138.2.57.135:8443,ORACLE-BMC-31898
https://140.83.34.214:8443,140.83.34.214,8443,https,403 Forbidden,,JP,Tokyo,https://140.83.34.214:8443,ORACLE-BMC-31898
https://140.83.34.214:8443,140.83.34.214,8443,https,,,JP,Tokyo,https://140.83.34.214:8443,ORACLE-BMC-31898
64.110.100.168:8181,64.110.100.168,8181,http,,,JP,Osaka,http://64.110.100.168:8181,ORACLE-BMC-31898
138.2.48.2:8181,138.2.48.2,8181,http,,,JP,Osaka,http://138.2.48.2:8181,ORACLE-BMC-31898
131.186.57.144:8181,131.186.57.144,8181,http,,,JP,Tokyo,http://131.186.57.144:8181,ORACLE-BMC-31898
152.69.199.197:3000,152.69.199.197,3000,http,AKTV 高清高速數碼電視轉播站,,JP,Osaka,http://152.69.199.197:3000,ORACLE-BMC-31898
152.69.199.197:3000,152.69.199.197,3000,http,,,JP,Osaka,http://152.69.199.197:3000,ORACLE-BMC-31898
https://168.138.52.52:2086,168.138.52.52,2086,https,403 Forbidden,,JP,Osaka,https://168.138.52.52:2086,ORACLE-BMC-31898
https://168.138.52.52:2086,168.138.52.52,2086,https,,,JP,Osaka,https://168.138.52.52:2086,ORACLE-BMC-31898
https://150.230.203.210:8099,150.230.203.210,8099,https,,,JP,Tokyo,https://150.230.203.210:8099,ORACLE-BMC-31898
158.101.95.22:9001,158.101.95.22,9001,http,,,JP,Tokyo,http://158.101.95.22:9001,ORACLE-BMC-31898
158.101.150.73:2222,158.101.150.73,2222,http,,,JP,Tokyo,http://158.101.150.73:2222,ORACLE-BMC-31898
168.138.208.208:2222,168.138.208.208,2222,http,,,JP,Tokyo,http://168.138.208.208:2222,ORACLE-BMC-31898
64.110.101.31:8888,64.110.101.31,8888,http,,,JP,Osaka,http://64.110.101.31:8888,ORACLE-BMC-31898
138.2.18.82:8880,138.2.18.82,8880,http,,,JP,Tokyo,http://138.2.18.82:8880,ORACLE-BMC-31898
https://8.209.212.180:8443,8.209.212.180,8443,https,403 Forbidden,,JP,Tokyo,https://8.209.212.180:8443,"Alibaba US Technology Co., Ltd."
https://152.70.107.16:8080,152.70.107.16,8080,https,,,JP,Tokyo,https://152.70.107.16:8080,ORACLE-BMC-31898
https://152.70.107.16:8080,152.70.107.16,8080,https,403 Forbidden,,JP,Tokyo,https://152.70.107.16:8080,ORACLE-BMC-31898
140.83.62.178:60000,140.83.62.178,60000,http,,,JP,Osaka,http://140.83.62.178:60000,ORACLE-BMC-31898
140.83.62.178:7000,140.83.62.178,7000,http,,,JP,Osaka,http://140.83.62.178:7000,ORACLE-BMC-31898
https://138.3.214.175:8443,138.3.214.175,8443,https,,,JP,Tokyo,https://138.3.214.175:8443,ORACLE-BMC-31898
https://131.186.32.192:8443,131.186.32.192,8443,https,,,JP,Tokyo,https://131.186.32.192:8443,ORACLE-BMC-31898
https://150.230.204.141:8443,150.230.204.141,8443,https,,,JP,Tokyo,https://150.230.204.141:8443,ORACLE-BMC-31898
https://138.2.36.157:8443,138.2.36.157,8443,https,,,JP,Osaka,https://138.2.36.157:8443,ORACLE-BMC-31898
158.101.95.22:9002,158.101.95.22,9002,http,,,JP,Tokyo,http://158.101.95.22:9002,ORACLE-BMC-31898
https://8.209.212.180:8443,8.209.212.180,8443,https,,,JP,Tokyo,https://8.209.212.180:8443,"Alibaba US Technology Co., Ltd."
158.101.93.192:20201,158.101.93.192,20201,http,AKTV 高清高速數碼電視轉播站,,JP,Tokyo,http://158.101.93.192:20201,ORACLE-BMC-31898
https://138.2.53.250:8080,138.2.53.250,8080,https,乐乐网络科技,,JP,Osaka,https://138.2.53.250:8080,ORACLE-BMC-31898
https://141.147.144.246:8080,141.147.144.246,8080,https,403 Forbidden,,JP,Osaka,https://141.147.144.246:8080,ORACLE-BMC-31898
140.83.62.178:2000,140.83.62.178,2000,http,,,JP,Osaka,http://140.83.62.178:2000,ORACLE-BMC-31898
138.2.48.2:8181,138.2.48.2,8181,http,Claude,,JP,Osaka,http://138.2.48.2:8181,ORACLE-BMC-31898
https://140.238.38.31:8443,140.238.38.31,8443,https,403 Forbidden,,JP,Tokyo,https://140.238.38.31:8443,ORACLE-BMC-31898
https://138.2.57.135:8443,138.2.57.135,8443,https,403 Forbidden,,JP,Osaka,https://138.2.57.135:8443,ORACLE-BMC-31898
141.147.144.2:8181,141.147.144.2,8181,http,Claude,,JP,Osaka,http://141.147.144.2:8181,ORACLE-BMC-31898
https://132.145.127.203:2053,132.145.127.203,2053,https,403 Forbidden,,JP,Tokyo,https://132.145.127.203:2053,ORACLE-BMC-31898
140.83.32.156:8181,140.83.32.156,8181,http,Claude,,JP,Tokyo,http://140.83.32.156:8181,ORACLE-BMC-31898
